text,label
"un grupo de personas esta amenazando a los vecinos",SECURITY
"hay alguien intentando forzar la puerta de mi vecino",SECURITY
"estan disparando en la calle",SECURITY
"hay un robo a mano armada en el banco",SECURITY
"una persona esta siendo agredida en la parada del bus",SECURITY
"hay vandalismo en el colegio",SECURITY
"alguien esta amenazando con una pistola",SECURITY
"hay una pelea violenta en el bar",SECURITY
"estan asaltando a una persona mayor en la calle",SECURITY
"hay un intento de secuestro en el aparcamiento",SECURITY
"alguien ha roto el escaparate y esta robando",SECURITY
"hay una persona agresiva gritando y rompiendo cosas",SECURITY
"estan forzando la entrada de un local comercial",SECURITY
"hay una situacion de violencia domestica en el piso de arriba",SECURITY
"un hombre esta persiguiendo a una mujer por la calle",SECURITY
"hay alguien con un bate de beisbol amenazando en el parque",SECURITY
"estan vendiendo droga en la puerta del colegio",SECURITY
"hay una persona que lleva un machete en la mano",SECURITY
"estan intentando entrar a la fuerza en mi negocio",SECURITY
"hay una pelea con botellas rotas en la discoteca",SECURITY
"un grupo de encapuchados esta destrozando la calle",SECURITY
"alguien esta acosando a menores en el parque",SECURITY
"me han apunalado",SECURITY
"han apunalado a una persona",SECURITY
"le han clavado un cuchillo a alguien",SECURITY
"hay un hombre con un cuchillo",SECURITY
"una persona con un arma",SECURITY
"me estan siguiendo",SECURITY
"me estan robando",SECURITY
"hay una pelea",SECURITY
"me estan amenazando",SECURITY
"hay un ladron en mi casa",SECURITY
"alguien con una navaja",SECURITY
"el rio se ha desbordado e inunda las calles",NATURAL
"hay un terremoto y los edificios tiemblan",NATURAL
"una tormenta ha tirado arboles en la carretera",NATURAL
"hay una inundacion en el sotano del edificio",NATURAL
"el viento ha arrancado tejados en el barrio",NATURAL
"hay un deslizamiento de tierra cortando la carretera",NATURAL
"esta granizando muy fuerte y hay danos en los coches",NATURAL
"una riada ha arrastrado varios coches",NATURAL
"hay nieve acumulada bloqueando las carreteras",NATURAL
"un rayo ha caido en una casa",NATURAL
"hay una tromba de agua inundando el pueblo",NATURAL
"el mar esta muy agitado y hay personas en peligro",NATURAL
"hay un desprendimiento de rocas en la montana",NATURAL
"una avalancha ha cortado el acceso al pueblo",NATURAL
"el nivel del agua esta subiendo rapidamente",NATURAL
"hay un tornado acercandose a la zona",NATURAL
"las olas estan entrando en los paseos maritimos",NATURAL
"hay grietas en el suelo por el terremoto",NATURAL
"una tormenta electrica ha provocado cortes de luz",NATURAL
"el viento huracanado esta causando destrozos",NATURAL
"hay una ola de frio extremo y personas sin hogar en la calle",NATURAL
"un socavon se ha abierto en mitad de la carretera",NATURAL
"hay una alerta por tsunami en la costa",NATURAL
"las alcantarillas estan desbordadas por la lluvia",NATURAL
"hay una tormenta de arena que no deja ver nada",NATURAL
"un alud de nieve ha sepultado varias casas",NATURAL
"el rio ha crecido y amenaza con inundar el pueblo",NATURAL
"hay una plaga de abejas peligrosas en el barrio",NATURAL
"hay un terremoto",NATURAL
"se esta inundando todo",NATURAL
"hay una riada",NATURAL
"esta temblando",NATURAL
"hay un tornado",NATURAL
